accession,gene_name,abundance_24,abundance_48,abundance_72,abundance_96,abundance_120
Q8IY67,RAVER1,14123317.49,13594478.48,12633502.34,9796317.401,12536903.93
P49848,TAF6,1286070.613,2196703.091,2142035.275,2150042.941,1943712.98
Q9BXJ9,NAA15,62497666.93,63540567.59,55337505.74,52430240.77,58451495.26
P06865,HEXA,43391560.14,61637847.97,98744957.28,138487702.8,85565517.04
Q9BZE9,ASPSCR1,2071585.83,2656769.37,2376473.093,2293470.204,2349574.624
O15226,NKRF,3112569.679,2821887.317,2273585.259,2542113.801,2687539.014
Q9P0N9,TBC1D7; TBC1D7-LOC100130357,1970455.881,2486726.314,2763782.28,2342464.488,2390857.241
Q8WUI4,HDAC7,1779091.342,2190015.368,1446561.212,998007.7268,1603418.912
P34059,GALNS,10624279,13591191.73,22533856.31,23764603.62,17628482.66
P17302,GJA1,22660614.53,14830788.51,13456921.25,9708768.831,15164273.28
Q14651,PLS1,0,652147.2033,845894.5314,936970.1463,608752.9703
Q9Y333,LSM2,14467340.53,19822935.47,23008473.74,23958830.3,20314395.01
O75347,TBCA,87051437.47,108150281.1,103848114.1,113781448.2,103207820.2
P14625,HSP90B1,4269511108,4293675513,4307504703,4200847216,4267884635
Q14203,DCTN1,148903452.3,146685516.1,144248250.5,143239086.2,145769076.3
Q6PCB7,SLC27A1,1823021.767,2152312.199,2735043.775,3097352.604,2451932.586
Q9H0E9,BRD8,1773033.628,2164068.227,2195090.262,1932480.158,2016168.069
Q12959,DLG1,12901884.18,15878876.35,16546578.18,15149408.99,15119186.92
O00217,NDUFS8,20556062.64,23751657.42,28568541.22,34195020.52,26767820.45
Q96AE4,FUBP1,213122639,169910206.1,144915855.1,133320301,165317250.3
P78357,CNTNAP1,18932932.53,25251591.09,40537091.82,36202482.59,30231024.51
Q14683,SMC1A,63710472.3,53491449.16,45441139.75,43985712.6,51657193.45
Q6PCE3,PGM2L1,3872845.215,6741575.72,9100543.429,9402090.475,7279263.709
Q9BVP2,GNL3,30805286.99,26580988.43,22444774.34,19903343.08,24933598.21
Q9HAV0,GNB4,4956246.555,4921099.737,5128594.238,4165593.814,4792883.586
Q86YP4,GATAD2A,12437910.55,6842563.876,4139528.587,3919554.289,6834889.324
O14727,APAF1,1463903.803,1316999.198,702673.2874,1023596.927,1126793.304
Q9BRX8,FAM213A,5170495.232,9783674.951,15438236.89,10237141.14,10157387.05
Q9Y606,PUS1,7969223.849,8321341.866,9462384.646,9842432.907,8898845.817
P40763,STAT3,45741700.52,51612736.66,49314567.02,46837407.21,48376602.85
P30411,BDKRB2,10970965.66,8102758.278,8018960.556,7212229.304,8576228.451
P17152,TMEM11,5611785.797,7306079.08,8316404.822,11227857.58,8115531.82
Q9Y394,DHRS7,38117892.63,48469749.07,56618471.81,57428562.6,50158669.03
Q15424,SAFB,113617199.4,137938772.3,116482703.2,117348560.2,121346808.8
Q9H3U1,UNC45A,41136186,52834938.46,46445231.95,44196058.44,46153103.71
P27816,MAP4,486160863.7,409630260.3,357431652.1,396367758.6,412397633.7
Q14331,FRG1,6817240.326,7519135.494,6609624.856,6095812.102,6760453.195
Q8WZ82,OVCA2,2558612.85,3162539.669,3467057.82,3330199.192,3129602.383
P13984,GTF2F2,11560575.67,10159695.69,8828757.83,11003136.71,10388041.48
P11216,PYGB,209216335.1,230764950.6,249364646.4,266803872.3,239037451.1
