gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus
ATP2A2	P11507	Rattus norvegicus (Rat)	Endoplasmic Reticulum		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organelle localization	3		1	6
ATP5A1	P15999	Rattus norvegicus (Rat)	Cell Membrane; Mitochondrion		transport; establishment of localization	3		1	6
ATP6V0A1	P25286	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
ATP5O	Q06647	Rattus norvegicus (Rat)	Mitochondrion		transport; establishment of localization	3		1	6
VPS45	O08700	Rattus norvegicus (Rat)	Golgi		transport; establishment of localization; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
LPHN1	O88917	Rattus norvegicus (Rat)	Cell Membrane			3		1	6
ATP1B1	P07340	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization; cellular localization	3		1	6
GNAS	Q63803	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization	3		1	6
SYT5	P47861	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
FLOT1	Q9Z1E1	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
TCP1	P28480	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
SLIT3	O88280	Rattus norvegicus (Rat)	Unspecified			3		1	6
LDLR	P35952	Rattus norvegicus (Rat)	Cell Membrane; Golgi; Lysosome		transport; establishment of localization; organic substance transport	3		1	6
MYO1D	Q63357	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
ZW10	Q4V8C2	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
ATP5C1	P35435	Rattus norvegicus (Rat)	Mitochondrion		transport; establishment of localization	3		1	6
PTPRN	Q63259	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm; Nucleus		transport; establishment of localization; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
MYO5A	Q9QYF3	Rattus norvegicus (Rat)	Unspecified		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
TECR	Q64232	Rattus norvegicus (Rat)	Endoplasmic Reticulum			3		1	6
SGSM3	Q6P6R7	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
LNPEP	P97629	Rattus norvegicus (Rat)	Cell Membrane			3		1	6
SCFD1	Q62991	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
ATP1A1	P06685	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization	3		1	6
RPN1	P07153	Rattus norvegicus (Rat)	Endoplasmic Reticulum		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
SCG2	P10362	Rattus norvegicus (Rat)	Unspecified			3		1	6
EHD3	Q8R491	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
ATXN10	Q9ER24	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
SQLE	P52020	Rattus norvegicus (Rat)	Unspecified			3		1	6
PNPLA7	Q5BK26	Rattus norvegicus (Rat)	Lysosome; Mitochondrion; Nucleus			3		1	6
SLC2A3	Q07647	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization; organic substance transport	3		1	6
CHGB	O35314	Rattus norvegicus (Rat)	Unspecified			3		1	6
ACSL4	O35547	Rattus norvegicus (Rat)	Cell Membrane; Endoplasmic Reticulum; Mitochondrion; Peroxisome		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
GNAO1	P59215	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization	3		1	6
NISCH	Q4G017	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm		transport; establishment of localization; organic substance transport; nitrogen compound transport	3		1	6
GNAI2	P04897	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm		transport; establishment of localization	3		1	6
MYO1C	Q63355	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
COPB1	P23514	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm; Endoplasmic Reticulum; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
VGF	P20156	Rattus norvegicus (Rat)	Unspecified			3		1	6
NEDD4	Q62940	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
SPTAN1	P16086	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
ACSL5	O88813	Rattus norvegicus (Rat)	Cell Membrane; Endoplasmic Reticulum; Mitochondrion		transport; establishment of localization; organic substance transport	3		1	6
XPO1	Q80U96	Rattus norvegicus (Rat)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
COPG	Q4AEF8	Rattus norvegicus (Rat)	Cytoplasm; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
PGK1	P16617	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
GOLGA2	Q62839	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
CAND1	P97536	Rattus norvegicus (Rat)	Cytoplasm; Nucleus			3		1	6
CLTC	P11442	Rattus norvegicus (Rat)	Cytoplasm	Endocytic coat complex (7 subunits)	transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
MYBBP1A	O35821	Rattus norvegicus (Rat)	Cytoplasm; Nucleus			3		1	6
LRPPRC	Q5SGE0	Rattus norvegicus (Rat)	Mitochondrion; Nucleus		transport; establishment of localization; organic substance transport; nitrogen compound transport	3		1	6
PSMC3	Q63569	Rattus norvegicus (Rat)	Cytoplasm; Nucleus			3		1	6
HSPA4	O88600	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
RCN2	Q62703	Rattus norvegicus (Rat)	Endoplasmic Reticulum			3		1	6
DYNC1H1	P38650	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organelle localization	3		1	6
MAP1B	P15205	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organelle localization	3		1	6
RPL4	P50878	Rattus norvegicus (Rat)	Unspecified			3		1	6
AP2B1	P62944	Rattus norvegicus (Rat)	Cell Membrane	Endocytic coat complex (7 subunits)	transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
ACACA	P11497	Rattus norvegicus (Rat)	Cytoplasm			3		1	6
RPL6	P21533	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum			3		1	6
RPL13	P41123	Rattus norvegicus (Rat)	Unspecified			3		1	6
TRIM28	O08629	Rattus norvegicus (Rat)	Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
