uniprot,gene_name,species
P50613,CDK7,9606
P13489,RNH1,9606
Q13888,GTF2H2,9606
Q5T4S7-2,UBR4,9606
P46776,RPL27A,9606
P20248,CCNA2,9606
Q9Y3Z3,SAMHD1,9606
P36578,RPL4,9606
P51948,MNAT1,9606
Q9H147,DNTTIP1,9606
P38936,CDKN1A,9606
Q12834,CDC20,9606
Q9UPP1-1,PHF8,9606
O60343,TBC1D4,9606
Q7Z2Z1,C15orf42,9606
Q5T7B8-1,KIF24,9606
P63104,YWHAZ,9606
Q96PN7-1,TRERF1,9606
Q9UM11-1,FZR1,9606
Q9ULV4,CORO1C,9606
O00151,PDLIM1,9606
P23396,RPS3,9606
Q13418,ILK,9606
O15027-1,SEC16A,9606
Q9NT62-1,ATG3,9606
Q13435,SF3B2,9606
Q96H20-1,SNF8,9606
B3KT15,PSMD13,9606
Q13404-4,UBE2V1,9606
Q9H8S9-1,MOBKL1A,9606
O14908,GIPC1,9606
Q9NUP9,LIN7C,9606
Q08999,RBL2,9606
P24864-1,CCNE1,9606
P62851,RPS25,9606
P22626-1,HNRNPA2B1,9606
Q13042-1,CDC16,9606
Q8WWY3-1,PRPF31,9606
Q86UD0,C9orf140,9606
Q9H254-1,SPTBN4,9606
B0YIW6,ARCN1,9606
Q86V48-1,LUZP1,9606
Q5T1Z8,PUM1,9606
P25788-1,PSMA3,9606
Q16352,INA,9606
O60684,KPNA1,9606
P62854,RPS26,9606
P51991-1,HNRNPA3,9606
Q5HY50,RPL10,9606
P83731,RPL24,9606
A8K0H3,RPL29,9606
Q9Y285,FARSA,9606
P55199,ELL,9606
P61247,RPS3A,9606
Q9BUL8,PDCD10,9606
P62753,RPS6,9606
Q06787-1,FMR1,9606
Q9Y3D6,FIS1,9606
Q3B867,PABPC4,9606
Q15154-3,PCM1,9606
P15328,FOLR1,9606
P40937,RFC5,9606
Q7Z460-1,CLASP1,9606
Q15058,KIF14,9606
Q9H1A4,ANAPC1,9606
Q9BPX3,NCAPG,9606
Q13523,PRPF4B,9606
Q14697-1,GANAB,9606
P61020,RAB5B,9606
B2ZZ80,FLNA,9606
B4DMU2,AFAP1,9606
B4DI56,SMTN,9606
P31942-1,HNRNPH3,9606
A8MQ38,NOP2,9606
P46013-1,MKI67,9606
P62263,RPS14,9606
B4DGC0,TNRC6B,9606
Q9UKV8,EIF2C2;EIF2C3,9606
Q9UKA9-3,PTBP2,9606
P55795,HNRNPH2,9606
P42167-1,LAP2A;LAP2B,9606
A6NMJ5,YTHDF1,9606
Q15637-5,SF1,9606
P05023-1,ATP1A1,9606
P15927-3,RPA2,9606
P18621,RPL17,9606
Q15046,KARS,9606
P49207,RPL34,9606
P38159,RBMX,9606
P09874,PARP1,9606
Q9GZZ9,UBA5,9606
B4DEP9,RPL28,9606
O95400,CD2BP2,9606
Q53GG0,LIMA1,9606
A8MV58,DBN1,9606
B2R6D7,CSNK2A1,9606
P07384,CAPN1,9606
Q9UMY4-1,SNX12,9606
Q6YN16-1,HSDL2,9606
Q9NXR1-1,NDE1,9606
Q96EE3-1,SEH1L,9606
Q14207,NPAT,9606
Q7L014,DDX46,9606
P38919,EIF4A3,9606
Q92785,REQU,9606
Q9Y2Z0-1,SUGT1,9606
Q16254,E2F4,9606
Q5CZC0-1,FSIP2,9606
P18074,ERCC2,9606
O60925,PFDN1,9606
Q01094,E2F1,9606
Q86U42-1,PABPN1,9606
A4FTV3,ZNF185,9606
O75665-1,OFD1,9606
Q9UPQ4-1,TRIM35,9606
Q9Y678,COPG2,9606
Q9NXR7-1,BRE,9606
Q14240-2,EIF4A2,9606
Q00403,GTF2B,9606
P31153,MAT2A,9606
